sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,cost_price,product_name,category,revenue,cost,profit,margin_pct
1,INV-202301-00001,2023-01-10,2588.0,1274,2,234.79,469.58,pood,Tallinn,kaart,156.71,Soe teksane chino püksid,meeste_riided,469.58,313.42,156.16,33.26
2,INV-202301-00002,2023-01-16,4338.0,1207,2,241.13,482.26,pood,Pärnu,järelmaks,170.1,Õhuline seemisnahkne rannasandaalid,jalanõusid,482.26,340.2,142.06,29.46
3,INV-202301-00003,2023-01-05,4673.0,1264,1,258.46,221.19,pood,Pärnu,järelmaks,141.9,Mugav goretex platvormi kontsad,jalanõusid,221.19,141.9,79.29,35.85
4,INV-202301-00004,2023-01-02,4677.0,1341,3,45.21,135.63,pood,Tartu,sularaha,27.64,Stiilne siidine labakindad,aksessuaarid,135.63,82.92,52.71,38.86
5,INV-202301-00005,2023-01-13,2390.0,1284,1,99.57,99.57,pood,Tartu,kaart,59.84,Vintage softshell alussärk,laste_riided,99.57,59.84,39.73,39.9
6,INV-202301-00006,2023-01-28,4536.0,1338,1,282.29,282.29,pood,Tartu,järelmaks,195.5,Sportlik kangast tennised,jalanõusid,282.29,195.5,86.79,30.74
7,INV-202301-00007,2023-01-13,2029.0,1001,4,157.49,629.96,pood,Tartu,järelmaks,99.21,Praktiline seemisnahkne tennised,jalanõusid,629.96,396.84,233.12,37.01
8,INV-202301-00008,2023-01-23,4097.0,1100,2,126.42,252.84,online,,kaart,75.76,Sportlik merino villane ülikond,meeste_riided,252.84,151.52,101.32,40.07
9,INV-202301-00009,2023-01-07,3308.0,1202,1,22.04,22.04,pood,Tallinn,sularaha,13.3,Elegantne metallist sall,aksessuaarid,22.04,13.3,8.74,39.66
10,INV-202301-00010,2023-01-08,2809.0,1083,1,72.14,72.14,pood,Tallinn,sularaha,48.59,Vintage villane püksid,laste_riided,72.14,48.59,23.55,32.64
11,INV-202301-00011,2023-01-12,3837.0,1119,3,181.68,545.04,pood,Tallinn,sularaha,116.87,Boheemlaslik kangast kangasvöö,aksessuaarid,545.04,350.61,194.43,35.67
12,INV-202301-00012,2023-01-09,3432.0,1345,2,225.81,451.62,online,,järelmaks,160.82,Klassikaline kashmiir pusa,naiste_riided,451.62,321.64,129.98,28.78
13,INV-202301-00013,2023-01-18,2511.0,1072,1,80.64,95.39,pood,Tallinn,järelmaks,59.21,Klassikaline kangast nahkkindad,aksessuaarid,95.39,59.21,36.18,37.93
14,INV-202301-00014,2023-01-01,2755.0,1153,4,79.59,318.36,pood,Tallinn,sularaha,48.21,Soe teksane smokingüklikond,meeste_riided,318.36,192.84,125.52,39.43
15,INV-202301-00015,2023-01-05,3076.0,1018,1,47.07,47.07,pood,Pärnu,kaart,28.35,Boheemlaslik klaasist kaelakee,aksessuaarid,47.07,28.35,18.72,39.77
16,INV-202301-00016,2023-01-11,3357.0,1050,1,145.72,145.72,pood,Tallinn,järelmaks,86.55,Trendikas nahkne sõrmus,aksessuaarid,145.72,86.55,59.17,40.61
17,INV-202301-00017,2023-01-16,4219.0,1168,1,316.04,316.04,pood,Tartu,kaart,214.05,Trendikas džersii slim-fit püksid,meeste_riided,316.04,214.05,101.99,32.27
18,INV-202301-00018,2023-01-03,3990.0,1164,1,179.35,179.35,pood,Tartu,sularaha,117.75,Luksuslik puuvillane jakk,naiste_riided,179.35,117.75,61.6,34.35
